job_#,doc_#,borough,initial_cost,total_est_fee,existing_zoning_sqft,proposed_zoning_sqft,enlargement_sq_footage,street_frontage,existingno._of_stories,proposed_no._of_stories,existing_height,proposed_height
140073514,01,MANHATTAN,0,160,0,0,0,0,4,4,56,56
140073532,01,MANHATTAN,0,160,0,0,0,0,14,14,113,113
140073550,01,MANHATTAN,58050,821.2,0,0,0,0,8,8,96,96
121600491,01,MANHATTAN,9200,316.5,0,0,0,0,5,5,55,55
121594907,01,MANHATTAN,731555,7913.1,0,0,0,0,5,5,58,58
320754787,01,BROOKLYN,0,200,0,0,0,0,0,0,0,0
121600366,01,MANHATTAN,23500,460.7,0,0,0,0,5,5,60,60
121599591,01,MANHATTAN,10000,476.5,0,0,0,0,12,12,138,138
121599822,01,MANHATTAN,92700,1171.4,0,0,0,0,20,20,260,260
121600455,01,MANHATTAN,350000,3818.5,0,0,0,0,5,5,71,71
220286152,01,BRONX,0,190,0,0,0,0,0,0,0,0
121600507,01,MANHATTAN,28000,501.9,0,0,0,0,16,16,245,245
420837358,01,QUEENS,0,200,0,0,0,0,0,0,0,0
340054657,01,BROOKLYN,0,170,0,0,0,0,3,3,30,30
121559731,02,MANHATTAN,18000,398.9,0,0,0,0,0,0,0,0
320575739,01,BROOKLYN,30000,522.5,0,0,0,0,1,1,15,15
121600534,01,MANHATTAN,73435,975.7,0,0,0,0,12,12,120,120
320746485,01,BROOKLYN,236220,2654.6,0,0,0,0,4,4,44,44
320517473,01,BROOKLYN,0,1807.88,0,5006,0,0,0,4,0,40
320746234,01,BROOKLYN,502870,4361.34,1074,8032,12222,0,3,3,35,37
420828135,01,QUEENS,0,160,0,0,0,0,25,25,258,258
121563968,02,MANHATTAN,187700,2149.9,0,0,0,0,0,0,0,0
320738984,01,BROOKLYN,8500,306.2,0,0,0,0,4,4,55,55
121597851,01,MANHATTAN,705000,7475,0,0,0,0,24,24,320,320
320744021,01,BROOKLYN,3000,225,0,0,0,0,1,1,15,15
121331594,01,MANHATTAN,3000,225,0,0,0,0,35,35,385,385
320743941,01,BROOKLYN,0,260,0,0,0,40,1,0,12,0
520125980,01,STATEN ISLAND,0,200,0,0,0,0,0,0,0,0
520128558,01,STATEN ISLAND,0,200,0,0,0,0,0,0,0,0
420832424,01,QUEENS,0,497,0,1500,0,0,0,1,0,21
121597441,01,MANHATTAN,56000,790.3,0,0,0,0,20,20,260,260
121597450,01,MANHATTAN,42000,646.1,0,0,0,0,4,4,83,83
121599831,01,MANHATTAN,500000,5523.5,0,0,0,0,24,24,259,259
121599467,01,MANHATTAN,33368,563.7,0,0,0,0,44,44,440,440
121597343,01,MANHATTAN,19349,419.5,0,0,0,0,4,4,83,83
121563968,01,MANHATTAN,1221300,12800.1,0,0,0,0,11,11,159,159
320743914,01,BROOKLYN,16000,378.3,0,0,0,0,4,4,40,40
121600525,01,MANHATTAN,489000,5250.2,0,0,0,0,5,5,50,50
121603773,01,MANHATTAN,28900,512.2,0,0,0,0,11,11,159,159
420828153,01,QUEENS,500000,5363.5,0,0,0,0,2,2,30,30
121331585,01,MANHATTAN,0,6216,0,0,0,777,0,0,0,0
420808031,01,QUEENS,25000,471,0,0,0,0,1,1,25,25
320745761,01,BROOKLYN,70700,944.8,0,0,0,0,2,2,32,32
121599528,01,MANHATTAN,5600,275.3,0,0,0,0,44,44,440,440
121471861,01,MANHATTAN,29000,512.2,0,0,0,0,24,24,320,320
320744012,01,BROOKLYN,30000,320.31,3127,3640,513,0,2,2,28,29
140073293,01,MANHATTAN,0,160,0,0,0,0,12,12,120,120
520129245,01,STATEN ISLAND,5000,130,0,0,0,0,2,2,31,31
121523486,01,MANHATTAN,0,487.6,0,0,0,21,6,0,60,0
320743086,01,BROOKLYN,11000,326.8,0,0,0,0,3,3,35,35
420833959,01,QUEENS,0,160,0,0,0,0,0,0,0,0
121600543,01,MANHATTAN,0,130,0,0,0,0,4,4,40,40
320745734,01,BROOKLYN,0,180,0,0,0,0,7,7,70,70
320745770,01,BROOKLYN,0,160,0,0,0,0,7,7,70,70
220286161,01,BRONX,344584,3767,0,0,0,0,6,6,59,59
320742746,01,BROOKLYN,0,200,0,0,0,0,0,0,0,0
121523477,01,MANHATTAN,0,420,0,0,0,30,3,0,50,0
121597469,01,MANHATTAN,17000,388.6,0,0,0,0,4,4,83,83
121597254,01,MANHATTAN,1000,225,0,0,0,0,25,25,250,250
320728726,01,BROOKLYN,0,100,0,0,0,0,0,0,0,0
320743923,01,BROOKLYN,17000,191.8,0,0,0,0,2,2,25,25
420828162,01,QUEENS,5000,130,0,0,0,0,2,2,25,25
121598823,01,MANHATTAN,52000,749.1,0,0,0,0,18,18,210,210
121600589,01,MANHATTAN,84000,1078.7,0,0,0,0,13,13,104,104
121600516,01,MANHATTAN,32000,543.1,0,0,0,0,16,16,245,245
121600641,01,MANHATTAN,50000,728.5,0,0,0,0,12,12,150,150
320744076,01,BROOKLYN,78000,1016.9,0,0,0,0,4,4,55,55
320743996,01,BROOKLYN,18000,398.9,0,0,0,0,3,3,30,30
420828144,01,QUEENS,38775,775.2,0,0,0,0,3,3,30,30
121600650,01,MANHATTAN,2000,225,0,0,0,0,4,4,35,35
121597842,01,MANHATTAN,23000,450.4,0,0,0,0,24,24,320,320
121600669,01,MANHATTAN,20000,389.5,0,0,0,0,4,4,36,36
220286170,01,BRONX,344584,3767,0,0,0,0,6,6,59,59
121600794,01,MANHATTAN,0,100,0,0,0,0,0,0,0,0
320744003,01,BROOKLYN,13000,402.4,9920,9920,0,0,4,4,43,43
320744049,01,BROOKLYN,55000,940,0,0,0,0,3,3,35,35
520129218,01,STATEN ISLAND,0,528,0,0,0,66,0,0,0,0
320744030,01,BROOKLYN,0,260,0,0,0,40,1,0,12,0
121600632,01,MANHATTAN,30000,522.5,0,0,0,0,12,12,130,130
121331610,01,MANHATTAN,346600,5853.18,6932,13399,7733,0,4,7,43,75
121601016,01,MANHATTAN,73650,975.7,0,0,0,0,26,26,254,254
420835378,01,QUEENS,65000,675,1500,1750,300,0,2,2,21,21
121603764,01,MANHATTAN,8000,295.9,0,0,0,0,18,18,210,210
140073319,01,MANHATTAN,220250,1242.4,0,0,0,0,4,4,40,40
420830382,01,QUEENS,20000,207.25,0,0,0,0,1,1,13,13
121600179,01,MANHATTAN,50000,728.5,0,0,0,0,15,15,165,165
520129441,01,STATEN ISLAND,57000,800.6,0,0,0,0,2,2,24,24
320743629,01,BROOKLYN,8000,265.9,0,0,0,0,4,4,45,45
220242468,01,BRONX,324000,3550.7,0,0,0,0,1,1,21,21
340054666,01,BROOKLYN,55600,392.65,0,0,0,0,3,3,35,35
320744110,01,BROOKLYN,0,100,0,0,0,0,0,0,0,0
121600614,01,MANHATTAN,6000,275.3,0,0,0,0,35,35,485,485
520129290,01,STATEN ISLAND,800000,8453.5,0,0,0,0,2,2,27,27
121325823,04,MANHATTAN,0,0,0,0,0,0,0,0,0,0
121600302,01,MANHATTAN,300000,3463.5,0,0,0,0,6,6,91,91
320730447,01,BROOKLYN,5010,275.3,0,0,0,0,4,4,40,40
121600598,02,MANHATTAN,39500,625.5,0,0,0,0,0,0,0,0
121600963,01,MANHATTAN,0,3687.42,0,10706,0,0,0,6,0,70
320737583,01,BROOKLYN,30000,258.75,0,0,0,0,3,3,35,35
320725505,01,BROOKLYN,0,160,0,0,0,0,4,4,85,85
121600776,02,MANHATTAN,72000,955.1,0,0,0,0,0,0,0,0
320747439,01,BROOKLYN,34800,574,0,0,0,0,4,4,45,45
320743763,01,BROOKLYN,3000,225,0,0,0,0,3,3,36,36
121603791,01,MANHATTAN,15600,378.3,0,0,0,0,4,4,92,92
121600703,01,MANHATTAN,49000,718.2,0,0,0,0,15,15,150,150
520129281,01,STATEN ISLAND,26444,336.42,7912,8966,776,0,3,3,35,35
420837072,01,QUEENS,6500,140.3,0,0,0,0,2,2,21,21
320745609,01,BROOKLYN,152000,1834.1,5430,5430,0,0,3,3,30,30
121600936,02,MANHATTAN,127000,1521.6,0,0,0,0,0,0,0,0
420607365,01,QUEENS,0,504,0,0,0,63,0,0,0,0
320743932,01,BROOKLYN,0,420,0,0,0,40,2,0,24,0
121464432,01,MANHATTAN,14000,357.7,0,0,0,0,19,19,154,154
121600767,02,MANHATTAN,25000,471,0,0,0,0,0,0,0,0
320744138,01,BROOKLYN,225000,2531,0,0,0,0,14,14,136,136
340054675,01,BROOKLYN,15000,368,0,0,0,0,2,2,28,28
121600945,01,MANHATTAN,58500,821.2,0,0,0,0,32,32,322,322
320747082,01,BROOKLYN,160512,1315.32,1668,3184,1516,0,2,2,25,35
121597851,02,MANHATTAN,69000,924.2,0,0,0,0,0,0,0,0
121600678,03,MANHATTAN,22500,450.4,0,0,0,0,0,0,0,0
121600918,01,MANHATTAN,65000,853,0,0,0,0,6,6,58,58
121601007,01,MANHATTAN,3000,225,0,0,0,0,5,5,55,55
121600623,02,MANHATTAN,12500,347.4,0,0,0,0,0,0,0,0
320536684,02,BROOKLYN,0,0,0,0,0,0,0,0,0,0
320745743,01,BROOKLYN,0,160,0,0,0,0,7,7,70,70
121331601,01,MANHATTAN,3000,225,0,0,0,0,35,35,385,385
520133301,01,STATEN ISLAND,75000,734.3,1352,1719,365,0,2,2,20,21
121600605,01,MANHATTAN,12350,347.4,0,0,0,0,12,12,128,128
121600936,01,MANHATTAN,225675,2541.3,0,0,0,0,4,4,52,52
121600623,01,MANHATTAN,40000,625.5,0,0,0,0,35,35,500,500
420828171,01,QUEENS,20000,419.5,0,0,0,0,6,6,70,70
121599680,01,MANHATTAN,1000,225,0,0,0,0,7,7,120,120
420828180,01,QUEENS,0,10955.72,0,29962,0,0,0,6,0,70
121600838,01,MANHATTAN,50000,728.5,0,0,0,0,42,42,519,519
121589842,01,MANHATTAN,12200,347.4,0,0,0,0,5,5,50,50
420556801,01,QUEENS,0,752.36,0,2402,0,0,0,2,0,21
121600856,02,MANHATTAN,22500,450.4,0,0,0,0,0,0,0,0
520129432,01,STATEN ISLAND,68000,454.45,0,0,0,0,2,2,23,23
320744183,01,BROOKLYN,25000,471,0,0,0,0,5,5,70,70
420828233,01,QUEENS,46300,697.6,0,0,0,0,4,4,44,44
121589986,01,MANHATTAN,1000,225,0,0,0,0,13,13,165,165
121601150,01,MANHATTAN,0,160,0,0,0,0,6,6,65,65
121601098,01,MANHATTAN,10000,476.5,0,0,0,0,5,5,50,50
121600856,01,MANHATTAN,145870,1717.3,0,0,0,0,12,12,108,108
420828224,01,QUEENS,13000,347.4,0,0,0,0,3,3,30,30
320742906,01,BROOKLYN,0,615,0,0,0,175,1,0,12,0
340054700,01,BROOKLYN,8000,295.9,0,0,0,0,2,2,28,28
121601132,01,MANHATTAN,10000,316.5,0,0,0,0,5,5,55,55
121601141,01,MANHATTAN,4000,130,0,0,0,0,5,5,50,50
320747778,01,BROOKLYN,15000,368,0,0,0,0,23,23,225,225
121600810,02,MANHATTAN,35000,574,0,0,0,0,0,0,0,0
320720733,01,BROOKLYN,43000,983.06,2691,3332,641,0,3,3,33,33
520129423,01,STATEN ISLAND,0,160,0,0,0,0,1,1,20,20
420557891,01,QUEENS,0,740.36,0,2336,0,0,0,2,0,21
320744147,01,BROOKLYN,276750,3066.6,0,0,0,0,3,3,30,30
121600972,01,MANHATTAN,100000,1243.5,0,0,0,0,20,20,178,178
320742808,03,BROOKLYN,0,0,0,0,0,0,0,0,0,0
240024326,01,BRONX,18000,368.9,0,0,0,0,6,6,60,60
320744192,01,BROOKLYN,32500,434.2,0,0,0,0,2,2,25,25
121584534,01,MANHATTAN,0,784,0,0,0,60,4,0,60,0
320517348,02,BROOKLYN,0,0,0,0,0,0,0,0,0,0
420828359,01,QUEENS,55000,780,0,0,0,0,15,15,154,154
220286278,01,BRONX,175000,1005.5,0,0,0,0,2,2,35,35
121600598,01,MANHATTAN,490980,5270.8,0,0,0,0,12,12,128,128
420828297,01,QUEENS,100,280,4497,4497,0,0,2,2,20,20
320744094,01,BROOKLYN,37700,299.95,0,0,0,0,4,4,32,32
320744058,01,BROOKLYN,0,160,0,0,0,0,3,3,31,31
121600776,01,MANHATTAN,137000,1624.6,0,0,0,0,22,22,220,220
140073337,01,MANHATTAN,10000,316.5,0,0,0,0,24,24,233,233
420828046,01,QUEENS,30000,522.5,0,0,0,0,2,2,24,24
320725569,01,BROOKLYN,0,170,0,0,0,0,2,2,40,40
420837697,01,QUEENS,23100,227.85,0,0,0,0,2,2,21,21
121594550,01,MANHATTAN,18000,398.9,0,0,0,0,49,49,693,693
121600810,01,MANHATTAN,78000,1016.9,0,0,0,0,12,12,120,120
121600829,01,MANHATTAN,10000,316.5,0,0,0,0,8,8,95,95
121325823,05,MANHATTAN,0,0,0,0,0,0,0,0,0,0
121381735,01,MANHATTAN,9200,316.5,0,0,0,0,39,39,420,420
320742309,01,BROOKLYN,0,420,0,0,0,25,2,0,25,0
121378302,01,MANHATTAN,2500,225,0,0,0,0,39,39,420,420
320517516,01,BROOKLYN,600000,6448.5,4179,4179,0,0,3,3,39,39
