custid,gender,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,purchased,ct_cov,vdays,day_mean_amt,daycov,top_prod
C2459,f,0.12,0.02,0.1,0.27,0.06,0,0.05,0.02,0.16,0.11,0.09,0.91,134339,29,0,0.29,0.71,0,0,0,0.43,0.16,0.11,0.3,29,0.863506301,9,14926.55556,0.947215369,beans
C2460,f,0,0.17,0,0.34,0.08,0,0,0,0,0,0.42,0.36,5930,4,0,0.24,0.76,0.76,0.24,0,0,0,0,0,4,1.676253813,2,2965,0.722608279,fruitvegetables
C2464,f,0.1,0,0.07,0.09,0.06,0,0.56,0.01,0,0.04,0.07,0.73,110121,25,0.19,0.54,0.27,0.04,0.01,0.38,0.21,0.04,0.15,0.16,25,1.741499943,14,7865.785714,0.782966873,importedbeef
C2469,f,0.24,0.02,0.1,0,0.16,0,0.14,0.1,0,0.24,0.01,0.73,155623,37,0.06,0.13,0.81,0.1,0.04,0.25,0.27,0.11,0,0.23,37,1.027482478,28,5557.964286,0.519447033,milk
C2470,f,0,0,0.05,0,0,0,0,0,0.95,0,0,0.18,20640,4,0,1,0,0.71,0,0,0,0,0,0.29,4,3.143934734,3,6880,0.531561583,otherlivefish
C2471,f,0.14,0.11,0.06,0.21,0.1,0,0.05,0.04,0.04,0.14,0.09,0.91,574665,85,0.19,0.71,0.09,0.12,0.3,0.05,0.12,0.15,0.06,0.19,85,0.652034957,39,14735,0.760032679,kitchen/housedetergents
C2472,f,0.01,0.25,0.11,0,0.08,0,0.1,0.05,0.07,0.33,0,0.73,320880,34,0.23,0.77,0,0.02,0.31,0.43,0.09,0.05,0.03,0.08,34,1.192561082,18,17826.66667,1.135029072,coffee
C2473,m,0,0,0,0,0,0,0,0,0,0,1,0.09,1677,1,0,1,0,0,0,0,0,1,0,0,1,3.31662479,1,1677,0,eidbleherbs
C2474,f,0.21,0.02,0.06,0.06,0.14,0,0.31,0,0.05,0.04,0.12,0.82,129835,37,0.73,0.27,0,0.03,0.03,0.2,0.63,0.03,0,0.07,37,1.056881176,16,8114.6875,0.689567788,koreanchicken
C2475,f,0.07,0,0,0.93,0,0,0,0,0,0,0,0.18,13890,2,0,1,0,0,0.93,0,0,0,0,0.07,2,3.065631844,2,6945,1.212619404,dryfruits
C2476,f,0.11,0.04,0.04,0.13,0.06,0.01,0.31,0.01,0.14,0.02,0.13,1,473504,76,0.24,0.72,0.04,0.32,0.07,0.27,0.07,0.01,0.02,0.25,76,0.977763752,45,10522.31111,0.94615831,koreanbeef
