"","custid","ct_dairy","ct_drink","ct_fastfood","ct_fruite","ct_house_prod","ct_makeup","ct_meat","ct_sauce","ct_seafood","ct_snack","ct_vegetable","coverage","g_paid","buyed_prod_num","hf_6-11","hf_12-17","hf_18-23","wdf_Sun","wdf_Mon","wdf_Tue","wdf_Wed","wdf_Thu","wdf_Fri","wdf_Sat","purchase","ct_cov","vdays","day_mean_amt","daycov","top_prod"
"990","C1167",0,0.35,0.22,0.07,0.28,0,0,0,0,0,0.07,0.45,54050,6,0,1,0,0,0.65,0,0.3,0,0,0.06,5,1.43593086232696,3,18016.6666666667,0.895377343528152,"softdrinks"
"991","C1168",0,0,0,1,0,0,0,0,0,0,0,0.09,5990,1,0,1,0,0,0,0,0,1,0,0,1,3.3166247903554,1,5990,0,"apple/sweetmelon"
"992","C1169",0.37,0.2,0.16,0.27,0,0,0,0,0,0,0,0.36,21547,8,0,0.17,0.83,0.37,0.25,0,0.16,0.22,0,0,5,1.49265364345004,7,3078.14285714286,0.328832281979937,"harddrinks"
"993","C1170",0,0,0,0,0.79,0,0,0,0,0,0.21,0.18,4790,2,0,1,0,0.21,0,0.79,0,0,0,0,2,2.65180654712933,2,2395,0.829632590870229,"eidbleherbs"
"994","C1171",0.67,0,0.12,0,0,0,0,0.07,0.14,0,0,0.36,42300,11,0.49,0.51,0,0.18,0.08,0.14,0,0.6,0,0,5,2.19918139457172,9,4700,0.33263696689164,"fermentedmilk"
"995","C1172",1,0,0,0,0,0,0,0,0,0,0,0.09,3980,1,0,0,1,0,0,0,1,0,0,0,1,3.3166247903554,1,3980,0,"fermentedmilk"
"996","C1173",0,0,0,0.71,0,0,0,0,0,0.21,0.08,0.27,48020,7,0,1,0,0,0,0.29,0.1,0,0,0.61,4,2.35801008805869,4,12005,0.989593397983051,"apple/sweetmelon"
"997","C1174",0.25,0.15,0.04,0.24,0.19,0,0.06,0,0.05,0.03,0,0.73,107460,23,0.07,0.93,0,0.02,0.22,0.16,0.22,0.09,0,0.29,16,1.06534907558374,11,9769.09090909091,0.909601920874039,"softdrinks"
"998","C1175",0.05,0.04,0.07,0.05,0,0,0.27,0.02,0.27,0.19,0.04,0.82,122337,28,0,0.91,0.09,0.02,0.08,0.21,0.26,0.03,0.27,0.13,18,1.13448762909658,19,6438.78947368421,1.15989436582157,"cooky/cakes"
"999","C1176",0,0.98,0,0,0,0,0,0,0,0.02,0,0.18,40420,2,0.98,0.02,0,0,0,0,0,0,0,1,2,3.22739814716142,2,20210,1.34423763152831,"coffee"
"1000","C1177",0,0,0,0,0,0,0.69,0,0.31,0,0,0.18,19392,2,0,0,1,0,0,0,0,1,0,0,2,2.41533743701586,1,19392,0,"koreanbeef"
"1001","C1178",0.1,0.17,0.13,0.22,0,0,0.09,0.02,0.19,0,0.08,0.73,107528,17,0.33,0.49,0.18,0,0,0,0.61,0,0,0.39,13,0.891201343590524,6,17921.3333333333,0.427081562273361,"chillednoodles"
"1002","C1180",0.06,0.12,0.2,0.14,0,0,0.15,0,0,0.33,0,0.55,87745,21,0.12,0.2,0.67,0.1,0.23,0.28,0.19,0.17,0,0.03,13,1.19194022759955,16,5484.0625,0.539222300658293,"bakery"
"1003","C1181",0,0,0.03,0,0.35,0,0.12,0.04,0,0.45,0,0.45,55130,6,0,0.84,0.16,0,0.44,0.4,0,0,0,0.16,6,1.76179313787137,3,18376.6666666667,0.457967466607799,"chilledlivestock"
"1004","C1184",0,0.87,0,0,0,0,0,0,0,0,0.13,0.18,7590,2,0,0,1,0,0,0,1,0,0,0,2,2.87318612131422,1,7590,0,"eidbleherbs"
"1005","C1185",0,0.15,0,0.05,0,0,0.49,0,0,0.31,0,0.36,19700,5,0.42,0.58,0,0,0,0.42,0,0,0.58,0,5,1.80301637432159,3,6566.66666666667,0.671627701356032,"cereals"
"1006","C1186",0.02,0,0.09,0.59,0.05,0,0.04,0,0.01,0.1,0.12,0.73,132549,18,0.17,0.83,0,0.09,0.18,0.04,0.18,0.07,0.17,0.26,15,1.87120042901604,10,13254.9,0.610798088544406,"banana/importedfruits"
"1007","C1187",0.17,0.12,0,0.25,0.41,0,0,0.05,0,0,0,0.45,35530,11,0.03,0.86,0.11,0,0.02,0.19,0.46,0.2,0.11,0.02,5,1.49574827077051,9,3947.77777777778,1.19250860281864,"softdrinks"
"1008","C1188",0.03,0.1,0.13,0.18,0.07,0,0.13,0.02,0.17,0.17,0.01,0.91,261275,39,0.1,0.87,0.03,0.18,0.17,0.05,0.43,0.13,0,0.04,21,0.754973212873508,14,18662.5,1.35106042549527,"banana/importedfruits"
"1009","C1189",0.1,0.12,0.11,0.46,0.13,0,0,0,0,0.03,0.05,0.64,76220,13,0,1,0,0.28,0.33,0,0,0,0,0.39,10,1.4664629782485,4,19055,0.423822704674027,"softdrinks"
"1010","C1190",0.08,0.03,0.02,0.13,0.09,0,0.27,0.14,0.17,0.03,0.04,0.91,82707,17,0,0.82,0.18,0,0.25,0.27,0,0.18,0,0.3,16,0.889003977286988,7,11815.2857142857,0.514474222562233,"fermentedmilk"
"1011","C1191",0,0,0,0.48,0,0,0.14,0,0,0.36,0.02,0.36,110173,11,0.23,0.77,0,0.17,0.2,0.34,0,0.27,0,0.02,9,1.86545097773669,8,13771.625,0.708708753920102,"apple/sweetmelon"
"1012","C1192",1,0,0,0,0,0,0,0,0,0,0,0.09,990,1,1,0,0,1,0,0,0,0,0,0,1,3.3166247903554,1,990,0,"fermentedmilk"
"1013","C1194",0.09,0.26,0.18,0,0.02,0,0.3,0,0.04,0.11,0,0.64,91401,20,0.08,0.83,0.09,0.02,0.09,0.17,0.21,0.12,0.39,0,13,1.2021269955276,9,10155.6666666667,0.735825757184094,"harddrinks"
"1014","C1195",0,0,0,0.07,0,0,0.22,0,0.11,0.59,0,0.36,36170,7,0,0,1,0.3,0,0,0,0.51,0,0.19,7,1.99434366725254,3,12056.6666666667,0.474703436450967,"cooky/cakes"
"1015","C1196",0.11,0,0.1,0.02,0.1,0,0.29,0.03,0.04,0.23,0.08,0.82,107753,31,0,0.77,0.23,0.13,0.03,0,0.05,0,0.8,0,20,1.03825942074861,9,11972.5555555556,0.776407063790629,"koreanpork"
"1016","C1197",0.09,0.02,0.09,0.01,0.26,0,0.23,0.02,0.07,0.19,0.01,0.91,167075,33,0,1,0,0.26,0.01,0.36,0.17,0.12,0,0.08,23,1.04043284234187,12,13922.9166666667,1.05329973876554,"ramen"
"1017","C1199",0.05,0.27,0.41,0,0.12,0,0,0.12,0,0.03,0,0.55,60852,12,0.14,0.76,0.1,0.25,0,0,0,0.75,0,0,10,1.48551083631151,5,12170.4,0.85827631657726,"harddrinks"
"1018","C1200",0,0,0,0,0,0,0,0.16,0,0.84,0,0.18,23540,3,0.51,0.49,0,0,0.84,0,0,0,0,0.16,2,2.79812132050647,3,7846.66666666667,0.525938902397394,"pre-processedsnacks"
"1019","C1201",0,0.81,0.09,0,0,0,0,0,0,0,0.1,0.27,22100,3,0,1,0,0,0,0,0,1,0,0,3,2.67136767169984,1,22100,0,"bottledfoods"
"1020","C1202",0.07,0.38,0.06,0.08,0.31,0,0,0,0.05,0,0.05,0.64,89410,11,0,0.45,0.55,0,0.24,0,0.31,0,0,0.45,11,1.42929188770041,3,29803.3333333333,0.324316899678298,"bottledfoods"
"1021","C1203",0.18,0.1,0.04,0.09,0.14,0,0.09,0.04,0.13,0.11,0.09,0.91,179638,43,0.33,0.45,0.22,0.23,0.09,0.19,0.1,0.24,0,0.15,27,0.543726638731732,28,6415.64285714286,0.589151296800559,"milk"
